CompositeProgramName,CompositeCompositeID,CompositeStationName,CompositeStationCode,CompositeTargetLatitude,CompositeTargetLongitude,CompositeSampleDate,CompositeFinalID,NumberFishPerComp,CompositeTissueName,Analyte,Unit,Result,WeightAvg g,TLMin mm,TLMax mm,TLAvgLength mm,SexSummary,LatestDateSampled,SampleID
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"Moisture, Total",%,66.8,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"Nonachlor, cis-, Total",ng/g ww,0,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"Nonachlor, trans-, Total",ng/g ww,10,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"PCB AROCLOR 1248, Total",ng/g ww,0,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"PCB AROCLOR 1254, Total",ng/g ww,0,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"PCB AROCLOR 1260, Total",ng/g ww,0,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,1/1/1977-541ST1478-1947-WHL,San Joaquin River at Los Banos-541ST1478,541ST1478,37.0581,-120.561,1/1/77,Morone saxatilis,3,whole organism,"Toxaphene, Total",ng/g ww,0,400,330,330,330,"Unk (0), M (0), F (0)",1/1/77,1/1/1977-541ST1478-1947
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Aldrin, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Chemical Group A, Total",ug/Kg ww,24,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Chlordane, cis-, Total",ng/g ww,8,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Chlordane, trans-, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Chlorpyrifos, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Dacthal, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"DDD(o,p'), Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"DDD(p,p'), Total",ng/g ww,34,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"DDE(o,p'), Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"DDE(p,p'), Total",ng/g ww,240,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"DDMS(p,p'), Total",ug/Kg ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"DDMU(p,p'), Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"DDT(o,p'), Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"DDT(p,p'), Total",ng/g ww,14,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Diazinon, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Dicofol, Total",ug/Kg ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Dieldrin, Total",ng/g ww,5,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Endosulfan I, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Endrin, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Ethion, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"HCH, alpha-, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"HCH, beta-, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"HCH, delta-, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"HCH, gamma-, Total",ng/g ww,2,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Heptachlor, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Heptachlor Epoxide, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Hexachlorobenzene, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Lipid, Total",% ww,4.6,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Methoxychlor, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Moisture, Total",%,77.5,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Nonachlor, trans-, Total",ng/g ww,9,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Oxychlordane, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Parathion, Ethyl, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Parathion, Methyl, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"PCB AROCLOR 1248, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"PCB AROCLOR 1254, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"PCB AROCLOR 1260, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7524-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Toxaphene, Total",ng/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7524
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7525-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Mercury, Total",ug/g ww,0.2,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7525
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7525-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,fillet,"Moisture, Total",%,77.5,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7525
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7526-LIV,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,liver,"Arsenic, Total",ug/g ww,0.8,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7526
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7526-LIV,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,liver,"Cadmium, Total",ug/g ww,0.08,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7526
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7526-LIV,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,liver,"Chromium, Total",ug/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7526
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7526-LIV,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,liver,"Copper, Total",ug/g ww,33,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7526
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7526-LIV,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,liver,"Lead, Total",ug/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7526
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7526-LIV,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,liver,"Moisture, Total",%,64.3,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7526
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7526-LIV,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,liver,"Nickel, Total",ug/g ww,0,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7526
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7526-LIV,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,liver,"Silver, Total",ug/g ww,0.09,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7526
Surface Water Ambient Monitoring Program,9/30/1980-541ST1095-7526-LIV,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,9/30/80,Morone saxatilis,1,liver,"Zinc, Total",ug/g ww,30,2412.699951,0,0,0,"Unk (0), M (0), F (0)",9/30/80,9/30/1980-541ST1095-7526
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"Aldrin, Total",ng/g ww,0,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"Chemical Group A, Total",ug/Kg ww,15,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"Chlordane, cis-, Total",ng/g ww,0,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"Chlordane, trans-, Total",ng/g ww,0,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"Chlordene, cis-, Total",ng/g ww,0,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"Chlordene, trans-, Total",ng/g ww,0,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"Chlorpyrifos, Total",ng/g ww,0,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"Dacthal, Total",ng/g ww,7,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"DDD(o,p'), Total",ng/g ww,0,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"DDD(p,p'), Total",ng/g ww,0,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"DDE(o,p'), Total",ng/g ww,0,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"DDE(p,p'), Total",ng/g ww,110,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"DDMS(p,p'), Total",ug/Kg ww,0,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"DDMU(p,p'), Total",ng/g ww,0,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
Surface Water Ambient Monitoring Program,6/15/1981-541ST1095-7516-FIL,O'Neill Forebay/California Aqueduct-541ST1095,541ST1095,37.0889,-121.051,6/15/81,Morone saxatilis,6,fillet,"DDT(o,p'), Total",ng/g ww,0,659.7000122,0,0,0,"Unk (0), M (0), F (0)",6/15/81,6/15/1981-541ST1095-7516
